ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
1,Great Pyramid of Giza,Monument / Pyramid,"c. 2560 BC (Old Kingdom, 4th Dynasty)","Giza Plateau, Giza",Pharaoh Khufu (Cheops),"The Great Pyramid of Giza is the largest and oldest of the three main pyramids on the Giza Plateau, constructed as a royal tomb for Pharaoh Khufu around 2560 BC. Made from roughly 2.3 million limestone and granite blocks, it originally rose to about 146.6 meters and was faced with polished casing stones that reflected sunlight. The pyramid formed part of a larger funerary complex including mortuary temples and causeways and was central to the pharaonic ideology of resurrection and solar associations. For millennia it was the tallest man-made structure on Earth and has been the focus of architectural study, restoration, and tourism; it remains a UNESCO landmark and global symbol of ancient engineering.",One of the Seven Wonders of the Ancient World; casing largely removed in antiquity.,,,https://commons.wikimedia.org/wiki/File:Great_Pyramid_of_Giza.jpg
2,Great Sphinx of Giza,Monument / Statue,c. 2500 BC (Old Kingdom),"Giza Plateau, Giza",Likely under Pharaoh Khafre (attribution debated),"The Great Sphinx is a colossal limestone statue with a lion's body and human head carved from the Giza bedrock, traditionally associated with Pharaoh Khafre. It likely served as a guardian figure for the royal necropolis and symbolized royal power, blending human intelligence with leonine strength. Over the centuries the Sphinx suffered erosion, intentional damage and restoration; medieval and modern campaigns have attempted to stabilize and repair it. The Sphinx continues to attract scholarly debate about its precise date and original appearance, and it is an enduring emblem of ancient Egyptian monumental sculpture.",Faces east; has undergone multiple restoration efforts since antiquity.,,,https://commons.wikimedia.org/wiki/File:Great_Sphinx_of_Giza_-_20080716a.jpg
3,Step Pyramid of Djoser (Saqqara),Monument / Pyramid Complex,c. 2670 BC (Third Dynasty),"Saqqara, near Memphis",Designed by Imhotep for Pharaoh Djoser,"The Step Pyramid at Saqqara, attributed to the architect Imhotep and built for Pharaoh Djoser, marks the earliest large-scale cut-stone monumental architecture in Egypt. Composed of six stepped mastaba-like layers, the monument initiated the transition from flat-roofed mastabas to vertical, monumental pyramids. The complex included ceremonial courts, chapels and an enclosed funerary precinct used for rituals associated with the king's afterlife. Its survival and conservation have provided key evidence on early dynastic state formation, royal ideology and innovations in stone construction.",Imhotep was later venerated as a deity; site includes extensive burial complexes.,,,https://commons.wikimedia.org/wiki/File:Egypt-12B-021_-_Step_Pyramid_of_Djoser.jpg
4,Bent Pyramid (Dahshur),Monument / Pyramid,c. 2600 BC (4th Dynasty),"Dahshur, south of Cairo",Pharaoh Sneferu,"The Bent Pyramid is an early experiment in monumental pyramid construction commissioned by Pharaoh Sneferu and notable for its change of angle partway up the structure, giving it a 'bent' profile. Scholars think the angle adjustment was an architectural correction to avoid collapse, reflecting lessons learned in an era of pyramid innovation. The complex includes a mortuary temple, causeway and subsidiary tombs that illuminate the progression to true smooth-sided pyramids. As an archaeological landmark, Dahshur reveals the trial-and-error technical process behind Egypt's early monumental projects.",Interior chambers remain accessible to researchers; part of Dahshur pyramid field.,,,https://commons.wikimedia.org/wiki/File:Snefru%27s_Bent_Pyramid_in_Dahshur.jpg
5,Red Pyramid (Dahshur),Monument / Pyramid,c. 2590 BC (4th Dynasty),Dahshur,Pharaoh Sneferu,"The Red Pyramid, also built by Sneferu, is widely regarded as Egypt's first successful true smooth-sided pyramid and marks a crucial development in royal tomb architecture. Constructed from reddish limestone, it reaches approximately 104 meters in height and contains a sequence of internal passageways and chambers. Its architectural success influenced subsequent royal pyramids and represented a technical culmination following earlier experimental structures. Today the Red Pyramid can be entered by visitors and remains an important site for understanding pyramid design evolution.",Called 'Red' from the color of its core stones; one of Dahshur's key monuments.,,,https://commons.wikimedia.org/wiki/File:Red_Pyramid_at_Dahshur.jpg
6,Pyramid of Khafre,Monument / Pyramid,c. 2558–2532 BC (4th Dynasty),"Giza Plateau, Giza",Pharaoh Khafre,"Khafre's pyramid is the middle and visually dominant pyramid at Giza, often seen with some casing stones preserved at its apex which hint at its original smooth appearance. The complex includes a mortuary temple, the Sphinx association, and causeways linking the pyramid to its valley temple. Khafre’s funerary complex exemplifies Old Kingdom mortuary planning and the ritual landscape designed to sustain the king in the afterlife. Archaeological study of the site clarifies relationships among royal monuments at Giza and their ceremonial uses.",Often associated with the Great Sphinx; part of Giza plateau complex.,,,https://commons.wikimedia.org/wiki/File:The_pyramid_of_khafre.jpg
7,Pyramid of Menkaure,Monument / Pyramid,c. 2510 BC (4th Dynasty),"Giza Plateau, Giza",Pharaoh Menkaure,"The Pyramid of Menkaure is the smallest of the three major Giza pyramids and was originally faced partly in granite at the lower levels, giving it a distinguished appearance. Its associated mortuary complex includes subsidiary queen pyramids, a valley temple, and remnants of statue fragments and ritual installations. Menkaure’s monuments reflect changing artistic choices and resource allocation at the end of the Fourth Dynasty. The pyramid remains an important object of study for understanding royal burial typologies and Giza’s broader funerary landscape.",Features smaller-scale funerary architecture relative to Khufu and Khafre.,,,https://commons.wikimedia.org/wiki/File:Menkaures_Pyramid_Giza_Egypt.jpg
8,Karnak Temple Complex,Temple Complex,c. 2055 BC – Ptolemaic/Roman periods (continuous development),Luxor (ancient Thebes),Multiple pharaohs; dedicated primarily to Amun-Ra,"Karnak is a vast complex of temples, pylons, obelisks and chapels developed over more than two millennia and dedicated primarily to the Theban triad—Amun, Mut and Khonsu. Generations of pharaohs added monumental architecture, including the Great Hypostyle Hall with its forest of massive columns carved with hieroglyphic inscriptions. Karnak functioned as a religious and ceremonial center for royal rituals, festivals like Opet, and state-sponsored cult activity, central to Thebes’ political power. Ongoing archaeological work at Karnak continues to reveal details about ancient Egyptian ritual practice, architectural planning and religious patronage.",Connected to Luxor Temple via the Avenue of Sphinxes; UNESCO-protected complex.,,,https://commons.wikimedia.org/wiki/File:Karnak_Temples.jpg
9,Luxor Temple,Temple,c. 1400 BC (New Kingdom) with later additions,Luxor (east bank),Amenhotep III; later additions by Ramses II and others,"Luxor Temple served as a focus of royal ritual in the ancient city, particularly associated with the rejuvenation of kingship and the Opet Festival when the divine statue of Amun was ceremonially transported. The temple’s plan features grand colonnades, courtyards and pylon gateways and was expanded by several pharaohs, creating a palimpsest of architectural interventions. Roman and later periods adapted parts of the complex for new uses, and medieval occupation has left layers of reuse visible in the archaeological record. Rediscovery and restoration have made Luxor Temple a key site for understanding ancient Egyptian ceremonial geography and urban integration.",Situated close to the modern city center; accessible for visitors.,,,https://commons.wikimedia.org/wiki/File:Luxor_Temple%2C_Luxor%2C_Egypt.jpg
10,Valley of the Kings,Tomb Complex,c. 16th–11th centuries BC (New Kingdom),"West Bank, Luxor",New Kingdom pharaohs and elite,"The Valley of the Kings served as the principal royal necropolis for most New Kingdom pharaohs, with tombs cut into the valley’s limestone and decorated with funerary texts and scenes intended to secure the king’s afterlife. Notable burials include those of Tutankhamun, Ramses II (reused) and Seti I, among others; tomb architecture ranges from simple shafts to elaborate decorated corridors and burial chambers. The valley was chosen for its concealed topography and was part of a broader program of mortuary temples and cultic landscapes on the West Bank. Modern archaeological study, conservation and controlled public access balance research needs with preservation of fragile wall paintings and artifacts.",More than 60 tombs have been identified; ongoing conservation projects.,,,https://commons.wikimedia.org/wiki/File:Thebes%2C_Luxor%2C_Egypt%2C_Valley_of_the_Kings_from_above.jpg
